FAMILLE;SOUS_FAMILLE;FAMILLE_ID
ALCOOLS;APERITIFS;1
ALCOOLS;RHUM;1
ALCOOLS;WHISKY;1
ALCOOLS;ALCOOLS;1
ALCOOLS;ANISES;1
ALCOOLS;VODKA;1
ALCOOLS;PORTO;1
ALCOOLS;ARMAGNAC;1
ALCOOLS;GIN;1
ALCOOLS;COGNAC;1
ALCOOLS;PASTIS;1
ALCOOLS;KIRSCH;1
ALCOOLS;DOUX;1
ALCOOLS;LIQUEURS;1
ALCOOLS;CHAMPAGNES;1
ALCOOLS;MARTINI;1
ALCOOLS;PIPPERMINT;1
ALCOOLS;TEQUILA;1
ALCOOLS;PICONS;1
ALCOOLS;SUZE;1
ALCOOLS;MALIBU;1
BIERES;BOITES;2
BIERES;BOUTEILLE;2
BRSA;SODAS;4
BRSA;COLAS;4
BRSA;ETHNIQUES;4
BRSA;DIVERS;4
BRSA;ENERGY DRINK;4
BRSA;BOITES;4
BRSA;BOUTEILLE;4
BRSA;THES;4
EAUX;GAZEUSES;11
EAUX;PLATES;11
EAUX;AROMATISES;11
JUS DE FRUITS;PUR JUS;18
JUS DE FRUITS;JUS;18
JUS DE FRUITS;AROMATISES;18
SIROP ;SIROPS;29
SIROP ;ALCOOLS;29
SIROP ;CITRONS;29
SUCRE;THES;31
SUCRE;SODAS;31
VINS;ROSES;34
VINS;ROUGES;34
VINS;BLANCS;34
VINS;CIDRES;34
VINS;MOUSSEUX;34
VINS;AROMATISES;34
VINS;CHAMPAGNES;34
VINS;APERITIFS;34
BIERES;BIERE;2
BRSA;LAIT;4
BRSA;SOJA;4
JUS DE FRUITS;JUS;18
SUCRE;LAIT;31
VINS;ROSES;34
VINS;ROUGES;34
VINS;BLANCS;34
DIVERS ;NETTOYAGE;9
DROGUERIE;EPONGES;10
DROGUERIE;LESSIVE;10
DROGUERIE;JAVEL;10
DROGUERIE;VAISSELLES;10
DROGUERIE;PET FOOD;10
DROGUERIE;NETTOYAGE;10
DROGUERIE;BEBE;10
DROGUERIE;HYGIENE PAPIER;10
DROGUERIE;CHEVEUX;10
DROGUERIE;NETTOYAGE RHF;10
DROGUERIE;DIVERS;10
DROGUERIE;MENAGE;10
DROGUERIE;INSECTES;10
DROGUERIE;POUBELLES;10
DROGUERIE;FILMS;10
DROGUERIE;DEODORANTS;10
DROGUERIE;HYGIENE FEMININE;10
DROGUERIE;PAPIERS;10
PARFUMERIE ;RASAGE;21
PARFUMERIE ;HYGIENE FEMININE;21
PARFUMERIE ;SAVONS;21
PARFUMERIE ;DOUCHES;21
PARFUMERIE ;DEODORANTS;21
PARFUMERIE ;CHEVEUX;21
PARFUMERIE ;HYGIENE PAPIER;21
PARFUMERIE ;DENTIFRICES;21
PARFUMERIE ;DERMOPHIL;21
PARFUMERIE ;CREMES  ;21
PARFUMERIE ;DISSOLVANTS;21
DROGUERIE;NETTOYAGE;10
DROGUERIE;LESSIVE;10
DROGUERIE;VAISSELLES;10
DROGUERIE;DIVERS;10
PARFUMERIE ;DOUCHES;21
BOF;LAIT;3
CHARCUTERIE ;PATES;5
CHARCUTERIE ;ETHNIQUES;5
CHARCUTERIE ;HALLAL;5
CHARCUTERIE ;TERRINES;5
CONDIMENTS ;VINAIGRES;6
CONDIMENTS ;CITRONS;6
